"tre_cn","prev_tre_cn","plt_cn.re","plot_id","tree_status.re","species","dbh_in.re","plt_cn.init","tree_status.init","dbh_in.init"
"44786587020004","23651279010900","48203905010497","6-1-15-83916","live","OTHER",15.5,"23651220010900","live",14.4
"44786589020004","23651283010900","48203905010497","6-1-15-83916","live","OTHER",10.8,"23651220010900","live",10
"44786590020004","23651285010900","48203905010497","6-1-15-83916","live","OTHER",6.6,"23651220010900","live",6.2
"44786591020004","23651287010900","48203905010497","6-1-15-83916","live","OTHER",6.2,"23651220010900","live",5.6
"44786592020004","23651289010900","48203905010497","6-1-15-83916","live","OTHER",6,"23651220010900","live",5.4
"44786593020004","23651291010900","48203905010497","6-1-15-83916","live","OTHER",5.9,"23651220010900","live",5.4
"44786594020004","23651293010900","48203905010497","6-1-15-83916","live","OTHER",11.8,"23651220010900","live",11.5
"44786595020004","23651295010900","48203905010497","6-1-15-83916","live","OTHER",8.2,"23651220010900","live",8.1
"44786596020004","23651297010900","48203905010497","6-1-15-83916","live","OTHER",11.2,"23651220010900","live",11.1
"44786597020004","23651299010900","48203905010497","6-1-15-83916","live","PSME",48.2,"23651220010900","live",47.3
"44786598020004","23651301010900","48203905010497","6-1-15-83916","live","OTHER",1.1,"23651220010900","live",1.1
"44786214020004","23650908010900","48203880010497","6-1-15-91549","live","PSME",38.3,"23650809010900","live",38.3
"44786215020004","23650910010900","48203880010497","6-1-15-91549","live","PSME",42.5,"23650809010900","live",41.9
"44786216020004","23650912010900","48203880010497","6-1-15-91549","live","PILA",30.7,"23650809010900","live",29.8
"44786217020004","23650914010900","48203880010497","6-1-15-91549","live","ABCO",19.6,"23650809010900","live",18.7
"44786218020004","23650896010900","48203880010497","6-1-15-91549","live","PSME",7.1,"23650809010900","live",6.4
"44786219020004","23650898010900","48203880010497","6-1-15-91549","live","PSME",31.4,"23650809010900","live",31.3
"44786220020004","23650900010900","48203880010497","6-1-15-91549","live","PSME",29,"23650809010900","live",27.9
"44786224020004","23650906010900","48203880010497","6-1-15-91549","live","OTHER",6,"23650809010900","live",5.1
"44786225020004","23650888010900","48203880010497","6-1-15-91549","live","PSME",25,"23650809010900","live",24.6
"44786226020004","23650890010900","48203880010497","6-1-15-91549","live","PSME",25.2,"23650809010900","live",24
"44786227020004","23650892010900","48203880010497","6-1-15-91549","live","PILA",35.9,"23650809010900","live",34.9
"44786234020004","23650882010900","48203880010497","6-1-15-91549","live","PSME",27.4,"23650809010900","live",27
"44786235020004","23650884010900","48203880010497","6-1-15-91549","live","PILA",30.9,"23650809010900","live",30.6
"44786239020004","23650852010900","48203880010497","6-1-15-91549","live","PSME",28.8,"23650809010900","live",28
"44786236020004","23650886010900","48203880010497","6-1-15-91549","live","PILA",32.7,"23650809010900","live",32.2
"44786237020004","23650848010900","48203880010497","6-1-15-91549","live","PSME",38.2,"23650809010900","live",37.2
"44786238020004","23650850010900","48203880010497","6-1-15-91549","live","PSME",33.4,"23650809010900","live",32.4
"44786241020004","23650856010900","48203880010497","6-1-15-91549","live","PSME",18,"23650809010900","live",17.6
"44786242020004","23650858010900","48203880010497","6-1-15-91549","live","PSME",22.6,"23650809010900","live",21.6
"44786245020004","23650860010900","48203880010497","6-1-15-91549","live","ABCO",11.9,"23650809010900","live",11.3
"44786247020004","23650864010900","48203880010497","6-1-15-91549","live","ABCO",7.4,"23650809010900","live",7.2
"44786248020004","23650866010900","48203880010497","6-1-15-91549","live","ABCO",9.8,"23650809010900","live",8.7
"44786249020004","23650868010900","48203880010497","6-1-15-91549","live","ABCO",6.3,"23650809010900","live",5.6
"44786252020004","23650874010900","48203880010497","6-1-15-91549","live","PSME",36.5,"23650809010900","live",36
"44786253020004","23650876010900","48203880010497","6-1-15-91549","live","PSME",40.3,"23650809010900","live",39.9
"44786868020004","23651968010900","48203521010497","6-1-15-92287","live","OTHER",6.4,"23651826010900","live",5.7
"44786869020004","23651970010900","48203521010497","6-1-15-92287","live","OTHER",5.9,"23651826010900","live",5.4
"44786871020004","23651917010900","48203521010497","6-1-15-92287","live","PSME",9.5,"23651826010900","live",8.3
"44786872020004","23651919010900","48203521010497","6-1-15-92287","live","PSME",15.3,"23651826010900","live",13.6
"44786873020004","23651921010900","48203521010497","6-1-15-92287","live","PSME",14.3,"23651826010900","live",12.4
"44786874020004","23651977010900","48203521010497","6-1-15-92287","live","OTHER",3.4,"23651826010900","live",2.9
"44786876020004","23651983010900","48203521010497","6-1-15-92287","live","OTHER",1.4,"23651826010900","live",1.3
"44786877020004","23651986010900","48203521010497","6-1-15-92287","live","OTHER",2,"23651826010900","live",1.6
"44786879020004","23651992010900","48203521010497","6-1-15-92287","live","OTHER",1.7,"23651826010900","live",1.4
"44786880020004","23651995010900","48203521010497","6-1-15-92287","live","OTHER",1.3,"23651826010900","live",1
"44786881020004","23651974010900","48203521010497","6-1-15-92287","live","OTHER",1.4,"23651826010900","live",1.2
"44786885020004","23651932010900","48203521010497","6-1-15-92287","live","OTHER",1.3,"23651826010900","live",1
"44786882020004","23651923010900","48203521010497","6-1-15-92287","live","OTHER",1.1,"23651826010900","live",1
"44786883020004","23651926010900","48203521010497","6-1-15-92287","live","OTHER",1.4,"23651826010900","live",1.4
"44786884020004","23651929010900","48203521010497","6-1-15-92287","live","OTHER",2,"23651826010900","live",1.5
"44786886020004","23651935010900","48203521010497","6-1-15-92287","live","OTHER",3.4,"23651826010900","live",3.1
"44786887020004","23651938010900","48203521010497","6-1-15-92287","live","OTHER",4.5,"23651826010900","live",3.9
"44786888020004","23651941010900","48203521010497","6-1-15-92287","live","OTHER",1.3,"23651826010900","live",1.2
"44786894020004","23651946010900","48203521010497","6-1-15-92287","live","PILA",13.7,"23651826010900","live",12.9
"44786896020004","23651950010900","48203521010497","6-1-15-92287","live","OTHER",6.4,"23651826010900","live",5.8
"44786897020004","23651952010900","48203521010497","6-1-15-92287","live","OTHER",7,"23651826010900","live",6.7
"44786899020004","23651956010900","48203521010497","6-1-15-92287","live","OTHER",6.8,"23651826010900","live",6.2
"44786900020004","23651958010900","48203521010497","6-1-15-92287","live","OTHER",5.7,"23651826010900","live",5.2
"44786901020004","23651960010900","48203521010497","6-1-15-92287","live","OTHER",6.3,"23651826010900","live",5.5
"44786902020004","23651962010900","48203521010497","6-1-15-92287","live","OTHER",7.5,"23651826010900","live",6.9
"44786903020004","23651964010900","48203521010497","6-1-15-92287","live","PSME",42.5,"23651826010900","live",42
"44786904020004","23651966010900","48203521010497","6-1-15-92287","live","PILA",47.3,"23651826010900","live",46.9
"44786905020004","23651866010900","48203521010497","6-1-15-92287","live","PILA",47.8,"23651826010900","live",47.2
"44786906020004","23651868010900","48203521010497","6-1-15-92287","live","OTHER",1.3,"23651826010900","live",1
"44786910020004","23651871010900","48203521010497","6-1-15-92287","live","OTHER",6.3,"23651826010900","live",5.7
"44786911020004","23651873010900","48203521010497","6-1-15-92287","live","OTHER",7.3,"23651826010900","live",6.5
"44786912020004","23651875010900","48203521010497","6-1-15-92287","live","OTHER",5.4,"23651826010900","live",5.1
"44786913020004","23651877010900","48203521010497","6-1-15-92287","live","OTHER",6.5,"23651826010900","live",5.7
"44786914020004","23651860010900","48203521010497","6-1-15-92287","live","OTHER",6.9,"23651826010900","live",6.5
"44786915020004","23651862010900","48203521010497","6-1-15-92287","live","OTHER",7.1,"23651826010900","live",6.4
"44786916020004","23651864010900","48203521010497","6-1-15-92287","live","OTHER",6.7,"23651826010900","live",5.8
"44786920020004","23651885010900","48203521010497","6-1-15-92287","live","PSME",34,"23651826010900","live",33.7
"44786917020004","23651879010900","48203521010497","6-1-15-92287","live","OTHER",7.4,"23651826010900","live",6.6
"44786918020004","23651881010900","48203521010497","6-1-15-92287","live","OTHER",6.6,"23651826010900","live",5.8
"44786919020004","23651883010900","48203521010497","6-1-15-92287","live","OTHER",12.3,"23651826010900","live",11.4
"44786921020004","23651887010900","48203521010497","6-1-15-92287","live","OTHER",4.2,"23651826010900","live",4.3
"44786922020004","23651890010900","48203521010497","6-1-15-92287","live","OTHER",1.2,"23651826010900","live",1.1
"44786923020004","23651893010900","48203521010497","6-1-15-92287","live","OTHER",2.2,"23651826010900","live",1.9
"44786924020004","23651896010900","48203521010497","6-1-15-92287","live","OTHER",1.5,"23651826010900","live",1.2
"44786925020004","23651899010900","48203521010497","6-1-15-92287","live","OTHER",5.1,"23651826010900","live",4.5
"44786929020004","23651911010900","48203521010497","6-1-15-92287","live","OTHER",1.1,"23651826010900","live",1.1
"44786926020004","23651902010900","48203521010497","6-1-15-92287","live","OTHER",3.1,"23651826010900","live",2.8
"44786927020004","23651905010900","48203521010497","6-1-15-92287","live","OTHER",1.1,"23651826010900","live",1.1
"44786928020004","23651908010900","48203521010497","6-1-15-92287","live","OTHER",1.6,"23651826010900","live",1.6
"44786930020004","23651914010900","48203521010497","6-1-15-92287","live","OTHER",1.8,"23651826010900","live",1.7
"44722147020004","23689103010900","48203828010497","6-1-45-83473","live","PSME",24.9,"23689077010900","live",21.1
"44722148020004","23689105010900","48203828010497","6-1-45-83473","live","PSME",19.8,"23689077010900","live",18
"44722149020004","23689107010900","48203828010497","6-1-45-83473","live","PSME",11,"23689077010900","live",9.8
"44722151020004","23689111010900","48203828010497","6-1-45-83473","live","QUKE",9.3,"23689077010900","live",9.2
"44722152020004","23689158010900","48203828010497","6-1-45-83473","live","QUKE",14.3,"23689077010900","live",14.2
"44722153020004","23689119010900","48203828010497","6-1-45-83473","live","PSME",33.2,"23689077010900","live",32
"44722155020004","23689121010900","48203828010497","6-1-45-83473","live","QUKE",26.5,"23689077010900","live",26.2
"44722156020004","23689123010900","48203828010497","6-1-45-83473","live","PSME",27.6,"23689077010900","live",25.9
"44722160020004","23689132010900","48203828010497","6-1-45-83473","live","PSME",35.7,"23689077010900","live",34.8
"44722157020004","23689125010900","48203828010497","6-1-45-83473","live","OTHER",11.6,"23689077010900","live",11.2
"44722159020004","23689129010900","48203828010497","6-1-45-83473","live","PSME",54.2,"23689077010900","live",53.2
"44722163020004","23689134010900","48203828010497","6-1-45-83473","live","PSME",12.8,"23689077010900","live",12.2
"44722164020004","23689136010900","48203828010497","6-1-45-83473","live","PSME",53.6,"23689077010900","live",51.6
"44722165020004","23689138010900","48203828010497","6-1-45-83473","live","PSME",37,"23689077010900","live",33.6
"44722166020004","23689140010900","48203828010497","6-1-45-83473","live","OTHER",8.3,"23689077010900","live",9.4
"44722169020004","23689146010900","48203828010497","6-1-45-83473","live","PSME",12,"23689077010900","live",10.7
"44722173020004","23689152010900","48203828010497","6-1-45-83473","live","QUKE",7.6,"23689077010900","live",7.6
"44722174020004","23689154010900","48203828010497","6-1-45-83473","live","PSME",34.1,"23689077010900","live",33.5
"44722175020004","23689156010900","48203828010497","6-1-45-83473","live","OTHER",30.7,"23689077010900","live",29.9
"44722177020004","23689115010900","48203828010497","6-1-45-83473","live","PSME",45.4,"23689077010900","live",44.7
"44722179020004","23689101010900","48203828010497","6-1-45-83473","live","PSME",5.4,"23689077010900","live",5.3
"44718265020004","23709069010900","48204842010497","6-2-35-53400","live","OTHER",30,"23709013010900","live",28
"44718266020004","23709071010900","48204842010497","6-2-35-53400","live","ABCO",26,"23709013010900","live",24.8
"44718267020004","23709073010900","48204842010497","6-2-35-53400","live","ABCO",23.3,"23709013010900","live",21.6
"44718268020004","23709075010900","48204842010497","6-2-35-53400","live","OTHER",11,"23709013010900","live",10.3
"44718269020004","23709077010900","48204842010497","6-2-35-53400","live","OTHER",20.2,"23709013010900","live",18.2
"44718270020004","23709079010900","48204842010497","6-2-35-53400","live","OTHER",5.8,"23709013010900","live",5.5
"44718272020004","23709083010900","48204842010497","6-2-35-53400","live","PSME",5,"23709013010900","live",4.3
"44718273020004","23709086010900","48204842010497","6-2-35-53400","live","ABCO",2.8,"23709013010900","live",2
"44718277020004","23709089010900","48204842010497","6-2-35-53400","live","OTHER",31.7,"23709013010900","live",31.6
"44718278020004","23709091010900","48204842010497","6-2-35-53400","live","OTHER",25.5,"23709013010900","live",25.2
