"tre_cn","prev_tre_cn","plt_cn.re","plot_id","tree_status.re","species","dbh_in.re","plt_cn.init","tree_status.init","dbh_in.init","survived"
"44786521020004","23651419010900","48203905010497","6-1-15-83916","live","PILA",25.1,"23651220010900","live",24.1,TRUE
"44786523020004","23651423010900","48203905010497","6-1-15-83916","live","PILA",29.4,"23651220010900","live",28.7,TRUE
"44786524020004","23651425010900","48203905010497","6-1-15-83916","live","PILA",31.2,"23651220010900","live",30.5,TRUE
"44786525020004","23651427010900","48203905010497","6-1-15-83916","live","OTHER",3.2,"23651220010900","live",2.9,TRUE
"44786526020004","23651352010900","48203905010497","6-1-15-83916","live","OTHER",3,"23651220010900","live",2.1,TRUE
"44786527020004","23651355010900","48203905010497","6-1-15-83916","live","OTHER",1.3,"23651220010900","live",1.3,TRUE
"44786528020004","23651358010900","48203905010497","6-1-15-83916","live","OTHER",1.3,"23651220010900","live",1,TRUE
"44786529020004","23651361010900","48203905010497","6-1-15-83916","dead","OTHER",NA,"23651220010900","live",1.1,FALSE
"44786530020004","23651364010900","48203905010497","6-1-15-83916","dead","OTHER",NA,"23651220010900","live",1.7,FALSE
"44786532020004","23651367010900","48203905010497","6-1-15-83916","live","OTHER",1.5,"23651220010900","live",1.3,TRUE
"44786533020004","23651370010900","48203905010497","6-1-15-83916","live","OTHER",1.3,"23651220010900","live",1.1,TRUE
"44786534020004","23651373010900","48203905010497","6-1-15-83916","live","PSME",1.9,"23651220010900","live",1.6,TRUE
"44786535020004","23651376010900","48203905010497","6-1-15-83916","live","OTHER",3.6,"23651220010900","live",3.2,TRUE
"44786536020004","23651379010900","48203905010497","6-1-15-83916","live","OTHER",8.8,"23651220010900","live",7.8,TRUE
"44786537020004","23651381010900","48203905010497","6-1-15-83916","live","OTHER",11.3,"23651220010900","live",10,TRUE
"44786538020004","23651383010900","48203905010497","6-1-15-83916","live","OTHER",10.3,"23651220010900","live",9.5,TRUE
"44786540020004","23651430010900","48203905010497","6-1-15-83916","live","OTHER",7.4,"23651220010900","live",7.1,TRUE
"44786541020004","23651432010900","48203905010497","6-1-15-83916","live","OTHER",5.2,"23651220010900","live",5.2,TRUE
"44786542020004","23651434010900","48203905010497","6-1-15-83916","live","PSME",37.5,"23651220010900","live",36.6,TRUE
"44786543020004","23651436010900","48203905010497","6-1-15-83916","live","PILA",33.5,"23651220010900","live",31.5,TRUE
"44786544020004","23651438010900","48203905010497","6-1-15-83916","live","PILA",36.4,"23651220010900","live",34.2,TRUE
"44786545020004","23651440010900","48203905010497","6-1-15-83916","live","OTHER",6.6,"23651220010900","live",6,TRUE
"44786546020004","23651387010900","48203905010497","6-1-15-83916","live","OTHER",10.1,"23651220010900","live",9.5,TRUE
"44786547020004","23651389010900","48203905010497","6-1-15-83916","live","OTHER",5.3,"23651220010900","live",5.2,TRUE
"44786548020004","23651391010900","48203905010497","6-1-15-83916","live","OTHER",6.9,"23651220010900","live",6.5,TRUE
"44786549020004","23651393010900","48203905010497","6-1-15-83916","live","OTHER",5.7,"23651220010900","live",5.1,TRUE
"44786550020004","23651395010900","48203905010497","6-1-15-83916","live","OTHER",8.7,"23651220010900","live",7.6,TRUE
"44786555020004","23651399010900","48203905010497","6-1-15-83916","live","OTHER",5.7,"23651220010900","live",5.5,TRUE
"44786554020004","23651397010900","48203905010497","6-1-15-83916","live","PILA",19.7,"23651220010900","live",19.2,TRUE
"44786556020004","23651304010900","48203905010497","6-1-15-83916","live","OTHER",6,"23651220010900","live",5.1,TRUE
"44786557020004","23651306010900","48203905010497","6-1-15-83916","live","OTHER",7.1,"23651220010900","live",6,TRUE
"44786558020004","23651308010900","48203905010497","6-1-15-83916","live","OTHER",8.8,"23651220010900","live",7.7,TRUE
"44786559020004","23651310010900","48203905010497","6-1-15-83916","live","PILA",36.4,"23651220010900","live",35.3,TRUE
"44786560020004","23651312010900","48203905010497","6-1-15-83916","live","OTHER",7.2,"23651220010900","live",6.5,TRUE
"44786561020004","23651314010900","48203905010497","6-1-15-83916","live","OTHER",5.3,"23651220010900","live",5.1,TRUE
"44786562020004","23651316010900","48203905010497","6-1-15-83916","live","OTHER",8.6,"23651220010900","live",7.7,TRUE
"44786563020004","23651318010900","48203905010497","6-1-15-83916","live","PILA",32.3,"23651220010900","live",32.1,TRUE
"44786564020004","23651320010900","48203905010497","6-1-15-83916","live","PILA",9.4,"23651220010900","live",9.4,TRUE
"44786565020004","23651322010900","48203905010497","6-1-15-83916","live","PILA",30,"23651220010900","live",29,TRUE
"44786569020004","23651252010900","48203905010497","6-1-15-83916","live","PILA",31.6,"23651220010900","live",29,TRUE
"44786566020004","23651324010900","48203905010497","6-1-15-83916","live","PILA",25.1,"23651220010900","live",23.8,TRUE
"44786567020004","23651326010900","48203905010497","6-1-15-83916","live","PILA",13.2,"23651220010900","live",13.1,TRUE
"44786570020004","23651254010900","48203905010497","6-1-15-83916","live","PILA",35.3,"23651220010900","live",34.5,TRUE
"44786571020004","23651256010900","48203905010497","6-1-15-83916","live","PILA",29.7,"23651220010900","live",29.1,TRUE
"44786572020004","23651258010900","48203905010497","6-1-15-83916","live","PILA",28.3,"23651220010900","live",27.4,TRUE
"44786573020004","23651260010900","48203905010497","6-1-15-83916","live","PILA",32.7,"23651220010900","live",31.8,TRUE
"44786574020004","23651262010900","48203905010497","6-1-15-83916","live","OTHER",3.6,"23651220010900","live",2.9,TRUE
"44786575020004","23651265010900","48203905010497","6-1-15-83916","live","OTHER",1.7,"23651220010900","live",1.7,TRUE
"44786576020004","23651268010900","48203905010497","6-1-15-83916","live","OTHER",1,"23651220010900","live",1,TRUE
"44786577020004","23651249010900","48203905010497","6-1-15-83916","live","OTHER",1.1,"23651220010900","live",1.2,TRUE
"44786578020004","23651246010900","48203905010497","6-1-15-83916","live","OTHER",1.1,"23651220010900","live",1,TRUE
"44786581020004","23651342010900","48203905010497","6-1-15-83916","live","OTHER",12.4,"23651220010900","live",11.7,TRUE
"44786582020004","23651344010900","48203905010497","6-1-15-83916","live","OTHER",7.4,"23651220010900","live",7.6,TRUE
"44786583020004","23651346010900","48203905010497","6-1-15-83916","live","OTHER",14.8,"23651220010900","live",14.4,TRUE
"44786584020004","23651348010900","48203905010497","6-1-15-83916","live","OTHER",20.5,"23651220010900","live",18.5,TRUE
"44786586020004","23651277010900","48203905010497","6-1-15-83916","live","PSME",43.9,"23651220010900","live",43.3,TRUE
"44786587020004","23651279010900","48203905010497","6-1-15-83916","live","OTHER",15.5,"23651220010900","live",14.4,TRUE
"44786588020004","23651281010900","48203905010497","6-1-15-83916","dead","OTHER",NA,"23651220010900","live",5.9,FALSE
"44786589020004","23651283010900","48203905010497","6-1-15-83916","live","OTHER",10.8,"23651220010900","live",10,TRUE
"44786590020004","23651285010900","48203905010497","6-1-15-83916","live","OTHER",6.6,"23651220010900","live",6.2,TRUE
"44786591020004","23651287010900","48203905010497","6-1-15-83916","live","OTHER",6.2,"23651220010900","live",5.6,TRUE
"44786592020004","23651289010900","48203905010497","6-1-15-83916","live","OTHER",6,"23651220010900","live",5.4,TRUE
"44786593020004","23651291010900","48203905010497","6-1-15-83916","live","OTHER",5.9,"23651220010900","live",5.4,TRUE
"44786594020004","23651293010900","48203905010497","6-1-15-83916","live","OTHER",11.8,"23651220010900","live",11.5,TRUE
"44786595020004","23651295010900","48203905010497","6-1-15-83916","live","OTHER",8.2,"23651220010900","live",8.1,TRUE
"44786596020004","23651297010900","48203905010497","6-1-15-83916","live","OTHER",11.2,"23651220010900","live",11.1,TRUE
"44786597020004","23651299010900","48203905010497","6-1-15-83916","live","PSME",48.2,"23651220010900","live",47.3,TRUE
"44786598020004","23651301010900","48203905010497","6-1-15-83916","live","OTHER",1.1,"23651220010900","live",1.1,TRUE
"44786214020004","23650908010900","48203880010497","6-1-15-91549","live","PSME",38.3,"23650809010900","live",38.3,TRUE
"44786215020004","23650910010900","48203880010497","6-1-15-91549","live","PSME",42.5,"23650809010900","live",41.9,TRUE
"44786216020004","23650912010900","48203880010497","6-1-15-91549","live","PILA",30.7,"23650809010900","live",29.8,TRUE
"44786217020004","23650914010900","48203880010497","6-1-15-91549","live","ABCO",19.6,"23650809010900","live",18.7,TRUE
"44786218020004","23650896010900","48203880010497","6-1-15-91549","live","PSME",7.1,"23650809010900","live",6.4,TRUE
"44786219020004","23650898010900","48203880010497","6-1-15-91549","live","PSME",31.4,"23650809010900","live",31.3,TRUE
"44786220020004","23650900010900","48203880010497","6-1-15-91549","live","PSME",29,"23650809010900","live",27.9,TRUE
"44786223020004","23650904010900","48203880010497","6-1-15-91549","dead","PILA",30.9,"23650809010900","live",31.3,FALSE
"44786224020004","23650906010900","48203880010497","6-1-15-91549","live","OTHER",6,"23650809010900","live",5.1,TRUE
"44786225020004","23650888010900","48203880010497","6-1-15-91549","live","PSME",25,"23650809010900","live",24.6,TRUE
"44786226020004","23650890010900","48203880010497","6-1-15-91549","live","PSME",25.2,"23650809010900","live",24,TRUE
"44786227020004","23650892010900","48203880010497","6-1-15-91549","live","PILA",35.9,"23650809010900","live",34.9,TRUE
"44786234020004","23650882010900","48203880010497","6-1-15-91549","live","PSME",27.4,"23650809010900","live",27,TRUE
"44786235020004","23650884010900","48203880010497","6-1-15-91549","live","PILA",30.9,"23650809010900","live",30.6,TRUE
"44786239020004","23650852010900","48203880010497","6-1-15-91549","live","PSME",28.8,"23650809010900","live",28,TRUE
"44786236020004","23650886010900","48203880010497","6-1-15-91549","live","PILA",32.7,"23650809010900","live",32.2,TRUE
"44786237020004","23650848010900","48203880010497","6-1-15-91549","live","PSME",38.2,"23650809010900","live",37.2,TRUE
"44786238020004","23650850010900","48203880010497","6-1-15-91549","live","PSME",33.4,"23650809010900","live",32.4,TRUE
"44786241020004","23650856010900","48203880010497","6-1-15-91549","live","PSME",18,"23650809010900","live",17.6,TRUE
"44786242020004","23650858010900","48203880010497","6-1-15-91549","live","PSME",22.6,"23650809010900","live",21.6,TRUE
"44786245020004","23650860010900","48203880010497","6-1-15-91549","live","ABCO",11.9,"23650809010900","live",11.3,TRUE
"44786246020004","23650862010900","48203880010497","6-1-15-91549","dead","ABCO",5.4,"23650809010900","live",5.5,FALSE
"44786247020004","23650864010900","48203880010497","6-1-15-91549","live","ABCO",7.4,"23650809010900","live",7.2,TRUE
"44786248020004","23650866010900","48203880010497","6-1-15-91549","live","ABCO",9.8,"23650809010900","live",8.7,TRUE
"44786249020004","23650868010900","48203880010497","6-1-15-91549","live","ABCO",6.3,"23650809010900","live",5.6,TRUE
"44786251020004","23650872010900","48203880010497","6-1-15-91549","dead","ABCO",23.9,"23650809010900","live",23.9,FALSE
"44786252020004","23650874010900","48203880010497","6-1-15-91549","live","PSME",36.5,"23650809010900","live",36,TRUE
"44786253020004","23650876010900","48203880010497","6-1-15-91549","live","PSME",40.3,"23650809010900","live",39.9,TRUE
"44786868020004","23651968010900","48203521010497","6-1-15-92287","live","OTHER",6.4,"23651826010900","live",5.7,TRUE
"44786869020004","23651970010900","48203521010497","6-1-15-92287","live","OTHER",5.9,"23651826010900","live",5.4,TRUE
"44786871020004","23651917010900","48203521010497","6-1-15-92287","live","PSME",9.5,"23651826010900","live",8.3,TRUE
"44786872020004","23651919010900","48203521010497","6-1-15-92287","live","PSME",15.3,"23651826010900","live",13.6,TRUE
"44786873020004","23651921010900","48203521010497","6-1-15-92287","live","PSME",14.3,"23651826010900","live",12.4,TRUE
"44786874020004","23651977010900","48203521010497","6-1-15-92287","live","OTHER",3.4,"23651826010900","live",2.9,TRUE
"44786876020004","23651983010900","48203521010497","6-1-15-92287","live","OTHER",1.4,"23651826010900","live",1.3,TRUE
"44786877020004","23651986010900","48203521010497","6-1-15-92287","live","OTHER",2,"23651826010900","live",1.6,TRUE
"44786878020004","23651989010900","48203521010497","6-1-15-92287","dead","OTHER",NA,"23651826010900","live",1,FALSE
"44786879020004","23651992010900","48203521010497","6-1-15-92287","live","OTHER",1.7,"23651826010900","live",1.4,TRUE
"44786880020004","23651995010900","48203521010497","6-1-15-92287","live","OTHER",1.3,"23651826010900","live",1,TRUE
"44786881020004","23651974010900","48203521010497","6-1-15-92287","live","OTHER",1.4,"23651826010900","live",1.2,TRUE
"44786885020004","23651932010900","48203521010497","6-1-15-92287","live","OTHER",1.3,"23651826010900","live",1,TRUE
"44786882020004","23651923010900","48203521010497","6-1-15-92287","live","OTHER",1.1,"23651826010900","live",1,TRUE
"44786883020004","23651926010900","48203521010497","6-1-15-92287","live","OTHER",1.4,"23651826010900","live",1.4,TRUE
"44786884020004","23651929010900","48203521010497","6-1-15-92287","live","OTHER",2,"23651826010900","live",1.5,TRUE
"44786886020004","23651935010900","48203521010497","6-1-15-92287","live","OTHER",3.4,"23651826010900","live",3.1,TRUE
"44786887020004","23651938010900","48203521010497","6-1-15-92287","live","OTHER",4.5,"23651826010900","live",3.9,TRUE
"44786888020004","23651941010900","48203521010497","6-1-15-92287","live","OTHER",1.3,"23651826010900","live",1.2,TRUE
"44786894020004","23651946010900","48203521010497","6-1-15-92287","live","PILA",13.7,"23651826010900","live",12.9,TRUE
"44786896020004","23651950010900","48203521010497","6-1-15-92287","live","OTHER",6.4,"23651826010900","live",5.8,TRUE
"44786897020004","23651952010900","48203521010497","6-1-15-92287","live","OTHER",7,"23651826010900","live",6.7,TRUE
"44786899020004","23651956010900","48203521010497","6-1-15-92287","live","OTHER",6.8,"23651826010900","live",6.2,TRUE
"44786900020004","23651958010900","48203521010497","6-1-15-92287","live","OTHER",5.7,"23651826010900","live",5.2,TRUE
"44786901020004","23651960010900","48203521010497","6-1-15-92287","live","OTHER",6.3,"23651826010900","live",5.5,TRUE
"44786902020004","23651962010900","48203521010497","6-1-15-92287","live","OTHER",7.5,"23651826010900","live",6.9,TRUE
"44786903020004","23651964010900","48203521010497","6-1-15-92287","live","PSME",42.5,"23651826010900","live",42,TRUE
"44786904020004","23651966010900","48203521010497","6-1-15-92287","live","PILA",47.3,"23651826010900","live",46.9,TRUE
"44786905020004","23651866010900","48203521010497","6-1-15-92287","live","PILA",47.8,"23651826010900","live",47.2,TRUE
"44786906020004","23651868010900","48203521010497","6-1-15-92287","live","OTHER",1.3,"23651826010900","live",1,TRUE
"44786910020004","23651871010900","48203521010497","6-1-15-92287","live","OTHER",6.3,"23651826010900","live",5.7,TRUE
"44786911020004","23651873010900","48203521010497","6-1-15-92287","live","OTHER",7.3,"23651826010900","live",6.5,TRUE
"44786912020004","23651875010900","48203521010497","6-1-15-92287","live","OTHER",5.4,"23651826010900","live",5.1,TRUE
"44786913020004","23651877010900","48203521010497","6-1-15-92287","live","OTHER",6.5,"23651826010900","live",5.7,TRUE
"44786914020004","23651860010900","48203521010497","6-1-15-92287","live","OTHER",6.9,"23651826010900","live",6.5,TRUE
"44786915020004","23651862010900","48203521010497","6-1-15-92287","live","OTHER",7.1,"23651826010900","live",6.4,TRUE
"44786916020004","23651864010900","48203521010497","6-1-15-92287","live","OTHER",6.7,"23651826010900","live",5.8,TRUE
"44786920020004","23651885010900","48203521010497","6-1-15-92287","live","PSME",34,"23651826010900","live",33.7,TRUE
"44786917020004","23651879010900","48203521010497","6-1-15-92287","live","OTHER",7.4,"23651826010900","live",6.6,TRUE
"44786918020004","23651881010900","48203521010497","6-1-15-92287","live","OTHER",6.6,"23651826010900","live",5.8,TRUE
"44786919020004","23651883010900","48203521010497","6-1-15-92287","live","OTHER",12.3,"23651826010900","live",11.4,TRUE
"44786921020004","23651887010900","48203521010497","6-1-15-92287","live","OTHER",4.2,"23651826010900","live",4.3,TRUE
"44786922020004","23651890010900","48203521010497","6-1-15-92287","live","OTHER",1.2,"23651826010900","live",1.1,TRUE
"44786923020004","23651893010900","48203521010497","6-1-15-92287","live","OTHER",2.2,"23651826010900","live",1.9,TRUE
"44786924020004","23651896010900","48203521010497","6-1-15-92287","live","OTHER",1.5,"23651826010900","live",1.2,TRUE
"44786925020004","23651899010900","48203521010497","6-1-15-92287","live","OTHER",5.1,"23651826010900","live",4.5,TRUE
"44786929020004","23651911010900","48203521010497","6-1-15-92287","live","OTHER",1.1,"23651826010900","live",1.1,TRUE
"44786926020004","23651902010900","48203521010497","6-1-15-92287","live","OTHER",3.1,"23651826010900","live",2.8,TRUE
"44786927020004","23651905010900","48203521010497","6-1-15-92287","live","OTHER",1.1,"23651826010900","live",1.1,TRUE
"44786928020004","23651908010900","48203521010497","6-1-15-92287","live","OTHER",1.6,"23651826010900","live",1.6,TRUE
"44786930020004","23651914010900","48203521010497","6-1-15-92287","live","OTHER",1.8,"23651826010900","live",1.7,TRUE
"44722147020004","23689103010900","48203828010497","6-1-45-83473","live","PSME",24.9,"23689077010900","live",21.1,TRUE
"44722148020004","23689105010900","48203828010497","6-1-45-83473","live","PSME",19.8,"23689077010900","live",18,TRUE
"44722149020004","23689107010900","48203828010497","6-1-45-83473","live","PSME",11,"23689077010900","live",9.8,TRUE
"44722151020004","23689111010900","48203828010497","6-1-45-83473","live","QUKE",9.3,"23689077010900","live",9.2,TRUE
"44722152020004","23689158010900","48203828010497","6-1-45-83473","live","QUKE",14.3,"23689077010900","live",14.2,TRUE
"44722153020004","23689119010900","48203828010497","6-1-45-83473","live","PSME",33.2,"23689077010900","live",32,TRUE
"44722155020004","23689121010900","48203828010497","6-1-45-83473","live","QUKE",26.5,"23689077010900","live",26.2,TRUE
"44722156020004","23689123010900","48203828010497","6-1-45-83473","live","PSME",27.6,"23689077010900","live",25.9,TRUE
"44722160020004","23689132010900","48203828010497","6-1-45-83473","live","PSME",35.7,"23689077010900","live",34.8,TRUE
"44722157020004","23689125010900","48203828010497","6-1-45-83473","live","OTHER",11.6,"23689077010900","live",11.2,TRUE
"44722158020004","23689127010900","48203828010497","6-1-45-83473","dead","OTHER",9.7,"23689077010900","live",9.3,FALSE
"44722159020004","23689129010900","48203828010497","6-1-45-83473","live","PSME",54.2,"23689077010900","live",53.2,TRUE
"44722163020004","23689134010900","48203828010497","6-1-45-83473","live","PSME",12.8,"23689077010900","live",12.2,TRUE
"44722164020004","23689136010900","48203828010497","6-1-45-83473","live","PSME",53.6,"23689077010900","live",51.6,TRUE
"44722165020004","23689138010900","48203828010497","6-1-45-83473","live","PSME",37,"23689077010900","live",33.6,TRUE
"44722166020004","23689140010900","48203828010497","6-1-45-83473","live","OTHER",8.3,"23689077010900","live",9.4,TRUE
"44722169020004","23689146010900","48203828010497","6-1-45-83473","live","PSME",12,"23689077010900","live",10.7,TRUE
"44722173020004","23689152010900","48203828010497","6-1-45-83473","live","QUKE",7.6,"23689077010900","live",7.6,TRUE
"44722174020004","23689154010900","48203828010497","6-1-45-83473","live","PSME",34.1,"23689077010900","live",33.5,TRUE
"44722175020004","23689156010900","48203828010497","6-1-45-83473","live","OTHER",30.7,"23689077010900","live",29.9,TRUE
"44722176020004","23689113010900","48203828010497","6-1-45-83473","dead","PSME",44.8,"23689077010900","live",44.7,FALSE
"44722177020004","23689115010900","48203828010497","6-1-45-83473","live","PSME",45.4,"23689077010900","live",44.7,TRUE
"44722179020004","23689101010900","48203828010497","6-1-45-83473","live","PSME",5.4,"23689077010900","live",5.3,TRUE
"44718265020004","23709069010900","48204842010497","6-2-35-53400","live","OTHER",30,"23709013010900","live",28,TRUE
"44718266020004","23709071010900","48204842010497","6-2-35-53400","live","ABCO",26,"23709013010900","live",24.8,TRUE
"44718267020004","23709073010900","48204842010497","6-2-35-53400","live","ABCO",23.3,"23709013010900","live",21.6,TRUE
"44718268020004","23709075010900","48204842010497","6-2-35-53400","live","OTHER",11,"23709013010900","live",10.3,TRUE
"44718269020004","23709077010900","48204842010497","6-2-35-53400","live","OTHER",20.2,"23709013010900","live",18.2,TRUE
"44718270020004","23709079010900","48204842010497","6-2-35-53400","live","OTHER",5.8,"23709013010900","live",5.5,TRUE
"44718271020004","23709081010900","48204842010497","6-2-35-53400","dead","OTHER",29.1,"23709013010900","live",28.2,FALSE
"44718272020004","23709083010900","48204842010497","6-2-35-53400","live","PSME",5,"23709013010900","live",4.3,TRUE
"44718273020004","23709086010900","48204842010497","6-2-35-53400","live","ABCO",2.8,"23709013010900","live",2,TRUE
"44718277020004","23709089010900","48204842010497","6-2-35-53400","live","OTHER",31.7,"23709013010900","live",31.6,TRUE
"44718278020004","23709091010900","48204842010497","6-2-35-53400","live","OTHER",25.5,"23709013010900","live",25.2,TRUE
"44718279020004","23709093010900","48204842010497","6-2-35-53400","live","ABCO",9.7,"23709013010900","live",9.4,TRUE
"44718281020004","23709150010900","48204842010497","6-2-35-53400","dead","OTHER",19.2,"23709013010900","live",19,FALSE
"44718284020004","23709156010900","48204842010497","6-2-35-53400","live","ABCO",26.4,"23709013010900","live",25.4,TRUE
"44718282020004","23709152010900","48204842010497","6-2-35-53400","live","OTHER",31.8,"23709013010900","live",30.5,TRUE
"44718285020004","23709158010900","48204842010497","6-2-35-53400","live","ABCO",36.3,"23709013010900","live",35.2,TRUE
"44718287020004","23709162010900","48204842010497","6-2-35-53400","live","ABCO",20.4,"23709013010900","live",19.6,TRUE
"44718288020004","23709170010900","48204842010497","6-2-35-53400","live","ABCO",41.6,"23709013010900","live",39.9,TRUE
"44718289020004","23709164010900","48204842010497","6-2-35-53400","live","ABCO",23.4,"23709013010900","live",22.3,TRUE
"44718290020004","23709166010900","48204842010497","6-2-35-53400","live","ABCO",16.3,"23709013010900","live",15.6,TRUE
"44718291020004","23709168010900","48204842010497","6-2-35-53400","live","OTHER",26.9,"23709013010900","live",25.9,TRUE
"44718292020004","23709097010900","48204842010497","6-2-35-53400","live","PSME",29.1,"23709013010900","live",26.8,TRUE
"44718293020004","23709099010900","48204842010497","6-2-35-53400","live","ABCO",13.2,"23709013010900","live",12.5,TRUE
"44718297020004","23709101010900","48204842010497","6-2-35-53400","live","ABCO",26.9,"23709013010900","live",25.7,TRUE
"44718298020004","23709103010900","48204842010497","6-2-35-53400","live","ABCO",40.8,"23709013010900","live",39.7,TRUE
"44718299020004","23709105010900","48204842010497","6-2-35-53400","dead","OTHER",40,"23709013010900","live",40.4,FALSE
"44718300020004","23709108010900","48204842010497","6-2-35-53400","live","ABCO",38,"23709013010900","live",36.8,TRUE
"44718301020004","23709110010900","48204842010497","6-2-35-53400","live","OTHER",35.5,"23709013010900","live",35.4,TRUE
"44718302020004","23709113010900","48204842010497","6-2-35-53400","live","OTHER",37.8,"23709013010900","live",36.7,TRUE
"44718303020004","23709115010900","48204842010497","6-2-35-53400","dead","OTHER",25.5,"23709013010900","live",25.7,FALSE
"44718304020004","23709117010900","48204842010497","6-2-35-53400","live","OTHER",9.8,"23709013010900","live",9.4,TRUE
"44718305020004","23709119010900","48204842010497","6-2-35-53400","dead","OTHER",8.9,"23709013010900","live",9,FALSE
"44718306020004","23709121010900","48204842010497","6-2-35-53400","live","ABCO",8.9,"23709013010900","live",7.4,TRUE
"44718309020004","23709123010900","48204842010497","6-2-35-53400","live","ABCO",4.3,"23709013010900","live",4.1,TRUE
"44718310020004","23709126010900","48204842010497","6-2-35-53400","live","ABCO",9.4,"23709013010900","live",8.8,TRUE
"44718313020004","23709132010900","48204842010497","6-2-35-53400","live","ABCO",7,"23709013010900","live",6.2,TRUE
"44718315020004","23709136010900","48204842010497","6-2-35-53400","live","ABCO",15.3,"23709013010900","live",14.5,TRUE
"44718311020004","23709128010900","48204842010497","6-2-35-53400","live","ABCO",11.7,"23709013010900","live",10.5,TRUE
"44718312020004","23709130010900","48204842010497","6-2-35-53400","live","ABCO",7.2,"23709013010900","live",7,TRUE
"44718314020004","23709134010900","48204842010497","6-2-35-53400","live","ABCO",10.3,"23709013010900","live",9.3,TRUE
"44718316020004","23709138010900","48204842010497","6-2-35-53400","live","ABCO",9.9,"23709013010900","live",9.3,TRUE
"44718317020004","23709140010900","48204842010497","6-2-35-53400","live","ABCO",10.1,"23709013010900","live",9.4,TRUE
"44718318020004","23709142010900","48204842010497","6-2-35-53400","live","PSME",31.8,"23709013010900","live",30.2,TRUE
"44718319020004","23709144010900","48204842010497","6-2-35-53400","live","ABCO",9.9,"23709013010900","live",9.4,TRUE
"44718320020004","23709146010900","48204842010497","6-2-35-53400","live","ABCO",10,"23709013010900","live",9.6,TRUE
"44718321020004","23709148010900","48204842010497","6-2-35-53400","live","ABCO",7.7,"23709013010900","live",7.3,TRUE
"44718322020004","23709065010900","48204842010497","6-2-35-53400","live","ABCO",8.4,"23709013010900","live",7.6,TRUE
"44718323020004","23709041010900","48204842010497","6-2-35-53400","live","ABCO",10.4,"23709013010900","live",9.8,TRUE
"44718324020004","23709043010900","48204842010497","6-2-35-53400","live","PILA",15.1,"23709013010900","live",13.9,TRUE
