# stan_version_major = 2
# stan_version_minor = 29
# stan_version_patch = 1
# model = fecd_model_model
# start_datetime = 2023-10-05 20:01:29 UTC
# method = sample (Default)
#   sample
#     num_samples = 1000 (Default)
#     num_warmup = 1000 (Default)
#     save_warmup = 0 (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = 1 (Default)
#       gamma = 0.050000000000000003 (Default)
#       delta = 0.80000000000000004 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 1 (Default)
# id = 1 (Default)
# data
#   file = C:/Users/dfoster/AppData/Local/Temp/RtmpWk9ck5/standata-48405e57361c.json
# init = 2 (Default)
# random
#   seed = 110819
# output
#   file = C:/Users/dfoster/Documents/pila2021/02-data/03-results/pila_fecd_nh-1.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = -1 (Default)
#   profile_file = C:/Users/dfoster/Documents/pila2021/02-data/03-results/fecd_model-profile-1.csv
# num_threads = 1 (Default)
# stanc_version = stanc3 v2.29.1
# stancflags = --name=fecd_model_model
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,beta.1,kappa
# Adaptation terminated
# Step size = 0.7633
# Diagonal elements of inverse mass matrix:
# 0.05119, 0.214856
-144.776,0.83179,0.7633,1,3,0,147.092,-2.86659,0.0692518
-144.552,0.955891,0.7633,2,3,0,145.269,-2.73185,0.0557842
-144.5,0.990356,0.7633,2,3,0,144.653,-2.78806,0.0500472
-145.241,0.857757,0.7633,1,3,0,145.881,-3.06501,0.0534052
-145.624,0.977649,0.7633,2,3,0,145.962,-2.49125,0.0606192
-144.973,0.907512,0.7633,2,3,0,146.825,-3.00393,0.0569962
-144.553,0.999792,0.7633,2,3,0,144.985,-2.87316,0.0524857
-145.339,0.905481,0.7633,3,7,0,145.587,-2.51671,0.0447126
-145.433,0.967753,0.7633,2,7,0,146.05,-3.03035,0.0726903
-145.071,1,0.7633,2,3,0,145.559,-2.56949,0.04507
-146.547,0.884962,0.7633,3,7,0,146.912,-2.41644,0.0307632
-144.554,1,0.7633,2,3,0,146.256,-2.72689,0.05495
-145.044,0.904617,0.7633,2,3,0,145.583,-3.02596,0.0538488
-145.764,0.957757,0.7633,3,7,0,145.792,-2.44645,0.0472135
-144.915,0.986246,0.7633,2,3,0,146.276,-2.99519,0.0472842
-145.964,0.770121,0.7633,2,3,0,146.753,-3.04204,0.087728
-145.678,1,0.7633,3,7,0,146.479,-2.76961,0.101388
-144.68,0.974395,0.7633,2,3,0,146.04,-2.89138,0.0622372
-150.099,0.542819,0.7633,2,3,0,150.728,-3.54133,0.0549698
-146.266,1,0.7633,2,3,0,149.795,-2.4051,0.0359946
-146.445,0.987891,0.7633,2,3,0,146.649,-2.42869,0.0310958
-145.372,0.892457,0.7633,2,3,0,147.642,-2.76562,0.0311986
-146.299,0.842153,0.7633,2,3,0,147.706,-2.40567,0.0602489
-144.532,1,0.7633,2,3,0,146.023,-2.85093,0.0494337
-145.68,0.902148,0.7633,3,7,0,145.701,-3.12974,0.0424018
-145.095,1,0.7633,2,3,0,145.691,-3.03891,0.0516512
-144.667,0.964364,0.7633,2,3,0,145.576,-2.82116,0.0415002
-144.505,0.984242,0.7633,1,3,0,144.79,-2.81414,0.0552914
-144.531,0.97085,0.7633,2,3,0,144.76,-2.85043,0.0551304
-144.526,0.992208,0.7633,3,7,0,144.626,-2.74102,0.0524466
-144.935,0.929635,0.7633,2,3,0,145.141,-2.99689,0.0461919
-145.002,0.877768,0.7633,2,7,0,146.133,-2.57705,0.0494497
-144.843,0.987989,0.7633,3,7,0,145.334,-2.86962,0.07187
-144.843,0.720009,0.7633,1,3,0,147.728,-2.86962,0.07187
-145.302,0.947158,0.7633,2,3,0,145.552,-3.03551,0.0386641
-145.492,0.978019,0.7633,2,3,0,145.716,-2.96073,0.0321205
-145.017,1,0.7633,2,3,0,145.772,-2.833,0.0800346
-145.037,0.998193,0.7633,2,7,0,145.057,-2.7553,0.0348667
-144.961,1,0.7633,2,3,0,145.355,-2.58798,0.0530295
-144.975,0.996701,0.7633,3,7,0,145.251,-3.00335,0.0451929
-144.868,1,0.7633,1,1,0,144.986,-2.98248,0.0471932
-144.569,0.945761,0.7633,2,3,0,145.512,-2.87056,0.0481077
-145.337,0.870332,0.7633,2,3,0,145.558,-2.82591,0.0315204
-146.959,0.831776,0.7633,2,3,0,148.083,-3.24361,0.0317988
-145.157,0.970322,0.7633,3,7,0,146.944,-2.60724,0.0693412
-145.5,0.930476,0.7633,2,3,0,146.732,-3.10127,0.0570655
-145.513,0.83735,0.7633,3,7,0,147.959,-2.51261,0.0386748
-144.755,0.919776,0.7633,2,3,0,146.706,-2.64255,0.0484368
-144.58,0.812345,0.7633,2,3,0,146.601,-2.75206,0.0451626
-144.633,0.991357,0.7633,2,3,0,144.679,-2.79918,0.0651016
-144.546,0.965712,0.7633,2,3,0,144.988,-2.73085,0.0498185
-145.007,0.891116,0.7633,2,7,0,145.658,-2.92129,0.0736087
-145.269,0.944243,0.7633,2,7,0,145.99,-2.54396,0.0412887
-145.384,0.986472,0.7633,1,1,0,145.453,-2.51971,0.0414995
-145.507,0.96193,0.7633,3,7,0,146.049,-3.10736,0.0546545
-146.326,0.955903,0.7633,2,3,0,146.34,-3.20579,0.0592978
-144.743,0.935404,0.7633,3,7,0,147.266,-2.64708,0.0481013
-144.613,0.957197,0.7633,1,3,0,145.214,-2.80942,0.0639527
-147.064,0.800484,0.7633,2,3,0,147.104,-2.5485,0.0234678
-147.73,0.740024,0.7633,2,3,0,149.712,-2.71434,0.163498
-149.115,0.8852,0.7633,1,1,0,149.149,-2.66503,0.208239
-148.448,0.956561,0.7633,3,7,0,149.81,-2.76567,0.192778
-148.956,0.943737,0.7633,3,7,0,149.125,-2.78433,0.0168422
-146.047,1,0.7633,1,1,0,148.291,-2.82392,0.0264546
-144.661,1,0.7633,2,3,0,145.808,-2.74313,0.0647573
-145.668,0.688244,0.7633,1,3,0,147.646,-3.06945,0.0348806
-145.815,0.977509,0.7633,1,1,0,145.941,-3.08112,0.0336224
-146.643,0.85522,0.7633,1,1,0,146.691,-3.10208,0.02711
-148.076,0.670649,0.7633,2,3,0,149.93,-2.82248,0.179264
-149.422,0.967589,0.7633,2,3,0,149.489,-2.9095,0.225142
-147.938,1,0.7633,2,3,0,149.448,-2.77702,0.174324
-148.242,0.794898,0.7633,3,7,0,150.414,-2.93871,0.175227
-148.329,0.915105,0.7633,2,7,0,150.105,-2.56917,0.159645
-145.851,1,0.7633,2,3,0,148.745,-3.09917,0.0726018
-144.832,0.993713,0.7633,3,7,0,146.074,-2.97405,0.0550005
-144.528,0.960723,0.7633,1,3,0,145.306,-2.74159,0.0536345
-144.721,0.978355,0.7633,2,3,0,144.752,-2.86434,0.0410372
-145.206,0.907008,0.7633,2,3,0,145.68,-2.54385,0.0556063
-148.368,0.821816,0.7633,2,3,0,148.517,-2.25081,0.0246666
-145.591,0.996972,0.7633,3,7,0,148.317,-2.47196,0.0481936
-145.231,0.990839,0.7633,2,3,0,146.083,-3.02196,0.0665306
-145.341,0.921768,0.7633,2,3,0,146.596,-2.91235,0.0325073
-145.035,1,0.7633,2,3,0,145.335,-2.94157,0.0374899
-144.702,0.93279,0.7633,2,3,0,145.56,-2.90294,0.0619894
-145.433,0.924318,0.7633,2,3,0,145.603,-2.49731,0.0466983
-146.431,0.880124,0.7633,2,3,0,147.148,-2.6149,0.0255951
-145.48,0.939337,0.7633,2,3,0,147.306,-2.49129,0.0514945
-146.494,0.940502,0.7633,2,3,0,146.501,-2.37196,0.05588
-145.248,1,0.7633,3,7,0,146.524,-3.03443,0.0398574
-145.072,0.977337,0.7633,3,7,0,145.709,-2.63334,0.0377238
-145.813,0.631602,0.7633,3,7,0,148.663,-2.85197,0.104702
-144.744,0.996606,0.7633,2,3,0,145.967,-2.89403,0.0653669
